user_id,template_id
1,7
2,1
3,9
4,8
5,8
6,8
7,10
8,5
9,10
10,8
11,4
12,4
13,5
14,3
15,7
16,2
17,1
18,1
19,9
20,1
21,1
22,6
23,1
24,4
25,3
26,4
27,1
28,10
29,2
30,3
31,1
32,8
33,9
34,5
35,6
36,5
37,8
38,4
39,4
40,5
41,4
42,8
43,8
44,3
45,4
46,8
47,8
48,2
49,1
50,2
51,9
52,2
53,1
54,6
55,2
56,4
57,10
58,4
59,6
60,3
61,10
62,9
63,5
64,3
65,1
66,7
67,9
68,8
69,5
70,2
71,2
72,9
73,6
74,9
75,4
76,2
77,9
78,4
79,10
80,9
81,9
82,10
83,2
84,1
85,6
86,9
87,8
88,1
89,3
90,2
91,7
92,9
93,3
94,9
95,3
96,2
97,9
98,7
99,9
100,6
101,3
102,8
103,2
104,1
105,2
106,1
107,6
108,3
109,4
110,1
111,5
112,2
113,2
114,4
115,6
116,7
117,9
118,7
119,6
120,1
121,6
122,7
123,5
124,5
125,4
126,10
127,6
128,10
129,9
130,8
131,3
132,9
133,4
134,3
135,3
136,2
137,2
138,10
139,1
140,7
141,4
142,3
143,7
144,7
145,8
146,4
147,10
148,9
149,5
150,10
151,2
152,3
153,7
154,9
155,2
156,8
157,10
158,10
159,10
160,9
161,8
162,4
163,5
164,6
165,4
166,2
167,6
168,6
169,4
170,1
171,2
172,1
173,1
174,9
175,9
176,10
177,2
178,10
179,1
180,3
181,6
182,2
183,9
184,6
185,10
186,5
187,4
188,2
189,4
190,6
191,4
192,8
193,4
194,7
195,9
196,7
197,6
198,1
199,2
200,9
201,1
202,8
203,4
204,2
205,3
206,7
207,10
208,8
209,1
210,8
211,4
212,10
213,3
214,8
215,6
216,5
217,5
218,8
219,8
220,2
221,7
222,1
223,7
224,9
225,5
226,1
227,10
228,9
229,7
230,1
231,4
232,4
233,7
234,3
235,3
236,1
237,2
238,4
239,1
240,7
241,3
242,2
243,1
244,2
245,6
246,6
247,6
248,9
249,10
250,4
251,10
252,2
253,6
254,6
255,9
256,6
257,8
258,9
259,5
260,8
261,3
262,10
263,5
264,5
265,4
266,7
267,4
268,9
269,8
270,8
271,4
272,6
273,6
274,2
275,5
276,3
277,4
278,9
279,7
280,6
281,8
282,8
283,5
284,7
285,10
286,5
287,2
288,2
289,2
290,2
291,7
292,10
293,7
294,6
295,3
296,8
297,7
298,2
299,7
300,2
301,2
302,6
303,7
304,8
305,10
306,2
307,7
308,4
309,6
310,1
311,3
312,5
313,8
314,10
315,1
316,9
317,4
318,9
319,8
320,6
321,1
322,5
323,6
324,8
325,9
326,6
327,5
328,1
329,7
330,7
331,8
332,9
333,3
334,2
335,3
336,7
337,4
338,3
339,9
340,1
341,10
342,5
343,2
344,4
345,2
346,3
347,4
348,6
349,8
350,9
351,8
352,1
353,1
354,4
355,10
356,7
357,3
358,6
359,10
360,2
361,2
362,4
363,9
364,5
365,1
366,1
367,5
368,4
369,9
370,1
371,4
372,2
373,3
374,1
375,9
376,3
377,7
378,8
379,8
380,5
381,3
382,9
383,2
384,2
385,6
386,10
387,2
388,8
389,5
390,9
391,3
392,6
393,1
394,1
395,9
396,2
397,2
398,9
399,6
400,8
401,8
402,4
403,2
404,9
405,5
406,1
407,4
408,1
409,9
410,10
411,5
412,9
413,2
414,6
415,2
416,3
417,1
418,8
419,9
420,2
421,5
422,6
423,10
424,7
425,10
426,3
427,10
428,7
429,5
430,9
431,3
432,3
433,7
434,3
435,3
436,7
437,9
438,7
439,8
440,8
441,2
442,9
443,7
444,7
445,7
446,8
447,3
448,3
449,5
450,8
451,7
452,4
453,10
454,4
455,6
456,6
457,8
458,8
459,8
460,10
461,2
462,3
463,5
464,7
465,10
466,7
467,6
468,10
469,8
470,1
471,10
472,9
473,5
474,2
475,9
476,6
477,8
478,6
479,4
480,7
481,6
482,3
483,10
484,3
485,6
486,9
487,9
488,7
489,3
490,10
491,6
492,1
493,9
494,9
495,10
496,1
497,4
498,9
499,7
500,7
501,10
502,7
503,6
504,9
505,6
506,10
507,4
508,10
509,2
510,5
511,9
512,6
513,2
514,9
515,9
516,10
517,4
518,8
519,4
520,9
521,4
522,8
523,6
524,5
525,10
526,10
527,2
528,1
529,4
530,1
531,5
532,5
533,5
534,8
535,8
536,3
537,4
538,4
539,8
540,7
541,8
542,3
543,2
544,5
545,2
546,10
547,9
548,9
549,5
550,1
551,9
552,6
553,2
554,1
555,8
556,9
557,2
558,7
559,8
560,3
561,10
562,2
563,8
564,9
565,10
566,9
567,5
568,5
569,1
570,5
571,7
572,1
573,2
574,7
575,7
576,4
577,10
578,3
579,1
580,3
581,2
582,4
583,2
584,4
585,6
586,10
587,4
588,5
589,10
590,8
591,7
592,6
593,9
594,2
595,7
596,2
597,5
598,10
599,8
600,1
601,8
602,1
603,4
604,5
605,5
606,3
607,8
608,7
609,10
610,5
611,5
612,5
613,9
614,8
615,3
616,7
617,9
618,9
619,1
620,10
621,7
622,10
623,4
624,7
625,1
626,9
627,1
628,10
629,5
630,9
631,7
632,10
633,7
634,7
635,6
636,8
637,9
638,5
639,6
640,8
641,5
642,2
643,10
644,5
645,9
646,4
647,7
648,7
649,1
650,9
651,2
652,4
653,7
654,5
655,8
656,2
657,3
658,7
659,1
660,8
661,4
662,4
663,6
664,9
665,7
666,5
667,5
668,6
669,10
670,7
671,4
672,4
673,3
674,4
675,3
676,10
677,4
678,7
679,6
680,8
681,3
682,9
683,5
684,7
685,2
686,9
687,4
688,1
689,3
690,2
691,6
692,3
693,7
694,3
695,7
696,3
697,4
698,3
699,2
700,1
701,7
702,3
703,10
704,7
705,6
706,7
707,4
708,7
709,8
710,4
711,10
712,8
713,6
714,1
715,7
716,6
717,5
718,1
719,9
720,7
721,9
722,4
723,2
724,2
725,5
726,10
727,9
728,4
729,1
730,9
731,1
732,4
733,3
734,2
735,9
736,8
737,5
738,1
739,10
740,2
741,10
742,10
743,5
744,7
745,10
746,2
747,10
748,4
749,6
750,1
751,2
752,4
753,10
754,6
755,9
756,8
757,10
758,4
759,9
760,6
761,10
762,2
763,3
764,4
765,8
766,6
767,2
768,9
769,7
770,6
771,5
772,6
773,10
774,9
775,6
776,7
777,9
778,2
779,9
780,2
781,7
782,7
783,10
784,6
785,6
786,3
787,10
788,2
789,6
790,3
791,3
792,2
793,8
794,6
795,3
796,1
797,6
798,4
799,3
800,7
801,5
802,2
803,6
804,3
805,6
806,9
807,7
808,1
809,10
810,4
811,2
812,7
813,8
814,5
815,1
816,10
817,7
818,7
819,8
820,2
821,6
822,1
823,1
824,5
825,4
826,7
827,6
828,10
829,6
830,6
831,10
832,9
833,4
834,1
835,4
836,2
837,5
838,3
839,1
840,1
841,10
842,5
843,6
844,7
845,5
846,5
847,3
848,6
849,6
850,8
851,7
852,6
853,7
854,10
855,9
856,3
857,1
858,7
859,6
860,7
861,5
862,2
863,3
864,6
865,6
866,5
867,2
868,5
869,6
870,6
871,1
872,2
873,4
874,6
875,7
876,1
877,9
878,1
879,9
880,1
881,6
882,6
883,3
884,6
885,7
886,2
887,4
888,5
889,10
890,7
891,7
892,9
893,5
894,10
895,1
896,8
897,7
898,6
899,1
900,10
901,5
902,1
903,6
904,7
905,6
906,10
907,9
908,3
909,2
910,5
911,1
912,10
913,10
914,1
915,2
916,6
917,4
918,9
919,6
920,3
921,1
922,6
923,7
924,6
925,10
926,10
927,7
928,1
929,5
930,3
931,1
932,2
933,2
934,7
935,2
936,4
937,5
938,7
939,8
940,5
941,9
942,10
943,9
944,1
945,7
946,7
947,3
948,4
949,1
950,1
951,10
952,8
953,6
954,10
955,8
956,2
957,1
958,4
959,9
960,3
961,1
962,1
963,8
964,10
965,7
966,8
967,7
968,9
969,2
970,3
971,5
972,6
973,2
974,6
975,8
976,4
977,8
978,4
979,5
980,9
981,5
982,9
983,6
984,5
985,2
986,9
987,1
988,8
989,4
990,2
991,10
992,3
993,1
994,9
995,2
996,3
997,10
998,3
999,10
1000,9
